Date,Close,High,Low,Open
2015-01-13,8299.400391,8356.650391,8267.900391,8346.150391
2015-01-14,8277.549805,8326.450195,8236.650391,8307.25
2015-01-15,8494.150391,8527.099609,8380.549805,8424.5
2015-01-16,8513.799805,8530.75,8452.25,8504.049805
2015-01-19,8550.700195,8570.950195,8531.5,8550.049805
2015-01-20,8695.599609,8707.900391,8574.5,8575.099609
2015-01-21,8729.5,8741.849609,8689.599609,8719.650391
2015-01-22,8761.400391,8774.150391,8727.0,8745.849609
2015-01-23,8835.599609,8866.400391,8795.400391,8827.950195
2015-01-27,8910.5,8925.049805,8825.450195,8871.349609
2015-01-28,8914.299805,8985.049805,8874.049805,8902.75
2015-01-29,8952.349609,8966.650391,8861.25,8901.5
2015-01-30,8808.900391,8996.599609,8775.099609,8996.599609
2015-02-02,8797.400391,8840.799805,8751.099609,8802.5
2015-02-03,8756.549805,8837.299805,8726.650391,8823.150391
2015-02-04,8723.700195,8792.849609,8704.400391,8789.150391
2015-02-05,8711.700195,8838.450195,8683.650391,8733.099609
2015-02-06,8661.049805,8726.200195,8645.549805,8696.849609
2015-02-09,8526.349609,8605.549805,8516.349609,8584.400391
2015-02-10,8565.549805,8646.25,8470.5,8478.099609
2015-02-11,8627.400391,8651.950195,8593.650391,8603.299805
2015-02-12,8711.549805,8732.549805,8599.25,8676.950195
2015-02-13,8805.5,8822.099609,8729.650391,8741.5
2015-02-16,8809.349609,8870.099609,8793.400391,8831.400391
2015-02-18,8869.099609,8894.299805,8808.900391,8811.549805
2015-02-19,8895.299805,8913.450195,8794.450195,8883.049805
2015-02-20,8833.599609,8899.950195,8816.299805,8895.5
2015-02-23,8754.950195,8869.0,8736.099609,8856.849609
2015-02-24,8762.099609,8800.5,8726.75,8772.900391
2015-02-25,8767.25,8840.650391,8751.400391,8801.900391
2015-02-26,8683.849609,8786.049805,8669.450195,8779.0
2015-02-27,8844.599609,8856.950195,8717.450195,8729.5
2015-02-28,,,,
2015-03-02,8956.75,8972.349609,8885.450195,8953.849609
2015-03-03,8996.25,9008.400391,8925.549805,8962.849609
2015-03-04,8922.650391,9119.200195,8893.950195,9109.150391
2015-03-05,8937.75,8957.549805,8849.349609,8929.400391
2015-03-09,8756.75,8891.299805,8740.450195,8891.150391
2015-03-10,8712.049805,8778.0,8677.349609,8769.75
2015-03-11,8699.950195,8755.599609,8682.349609,8728.75
2015-03-12,8776.0,8787.200195,8732.900391,8740.650391
2015-03-13,8647.75,8849.75,8631.75,8844.049805
2015-03-16,8633.150391,8663.549805,8612.0,8656.75
2015-03-17,8723.299805,8742.549805,8630.799805,8689.099609
2015-03-18,8685.900391,8747.25,8664.0,8742.900391
2015-03-19,8634.650391,8788.200195,8614.650391,8749.450195
2015-03-20,8570.900391,8627.900391,8553.0,8627.900391
2015-03-23,8550.900391,8608.349609,8540.549805,8591.549805
2015-03-24,8542.950195,8627.75,8535.849609,8537.049805
2015-03-25,8530.799805,8573.75,8516.549805,8568.900391
2015-03-26,8342.150391,8499.450195,8325.349609,8474.950195
2015-03-27,8341.400391,8413.200195,8269.150391,8396.0
2015-03-30,8492.299805,8492.299805,8380.75,8390.950195
2015-03-31,8491.0,8550.450195,8454.150391,8527.599609
2015-04-01,8586.25,8603.400391,8464.75,8483.700195
2015-04-06,8659.900391,8667.549805,8573.75,8615.799805
2015-04-07,8660.299805,8693.599609,8586.849609,8684.450195
2015-04-08,8714.400391,8730.5,8679.799805,8698.950195
2015-04-09,8778.299805,8785.5,8682.450195,8756.200195
2015-04-10,8780.349609,8787.400391,8733.599609,8774.349609
2015-04-13,8834.0,8841.650391,8762.099609,8801.75
2015-04-15,,,,
2015-04-16,8706.700195,8760.0,8645.650391,8757.049805
2015-04-17,8606.0,8699.849609,8596.700195,8698.049805
2015-04-20,8448.099609,8619.950195,8422.75,8618.799805
2015-04-21,8377.75,8469.349609,8352.700195,8416.099609
2015-04-22,8429.700195,8449.950195,8284.700195,8400.400391
2015-04-23,8398.299805,8504.950195,8361.849609,8478.200195
2015-04-24,8305.25,8413.299805,8273.349609,8405.700195
2015-04-27,8213.799805,8334.450195,8202.349609,8330.549805
2015-04-28,8285.599609,8308.0,8185.149902,8215.549805
2015-04-29,8239.75,8308.200195,8219.200195,8274.799805
2015-04-30,8181.5,8229.400391,8144.75,8224.5
2015-05-04,8331.950195,8346.0,8220.450195,8230.049805
2015-05-05,8324.799805,8355.650391,8280.599609,8338.400391
2015-05-06,8097.0,8331.950195,8083.0,8316.599609
2015-05-07,8057.299805,8122.600098,7997.149902,8077.0
2015-05-08,8191.5,8224.950195,8123.450195,8131.5
2015-05-11,8325.25,8332.75,8224.650391,8243.200195
2015-05-12,8126.950195,8326.650391,8115.299805,8326.150391
2015-05-13,8235.450195,8254.950195,8089.799805,8181.549805
2015-05-14,8224.200195,8236.25,8137.299805,8232.450195
2015-05-15,8262.349609,8279.200195,8212.200195,8240.299805
2015-05-18,8373.650391,8384.599609,8271.950195,8284.950195
2015-05-19,8365.650391,8427.799805,8335.0,8356.200195
